Metric,Buy & Hold,Moving Average,HY Timing
Total Trades,1.0,411.0,596.0
Win Rate [%],,40.14598540145985,63.42281879194631
Best Trade [%],,7.530381723527363,4.639513419820039
Worst Trade [%],,-0.6116765385767327,-0.5307028240533774
Avg Winning Trade [%],,0.469763787863065,0.21675015700827963
Avg Losing Trade [%],,-0.0721482812531874,-0.08568993571529447
Profit Factor,,4.7953221815802,4.64264690270194
Expectancy,,0.19578171203342773,0.14666006385343638
