,start_date,end_date,total_return,annual_return,daily_vol,downside_vol,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio,total_trades,win_rate,avg_win,avg_loss,profit_factor,avg_win_duration,avg_loss_duration,market_coverage,exposure,value_at_risk,cvar,period
AdaptiveTrendStrategy,10/31/2002,12/27/2024,33.14398613008308,1.896311239026205,1.81089004842825,1.7983038469573178,-15.481159376348385,1.0464604953805312,1.0544999068064682,0.12249155201666148,1,100.0,0.33177130116213155,0,inf,NaT,NaT,55.50161812297735,"Date
2002-10-31     0.00
2002-11-01     0.00
2002-11-04     0.00
2002-11-05     0.00
2002-11-06     0.00
              ...  
2024-12-23   100.00
2024-12-24   100.00
2024-12-25   100.00
2024-12-26   100.00
2024-12-27   100.00
Length: 5562, dtype: float64",-0.0011349306939972394,-0.0023226909446889695,8093 days
CombinedStrategy,10/31/2002,12/27/2024,30.50120135325369,1.7623370400107197,1.7793057902935006,1.8227532283522918,-15.481159376348408,0.9907705647458213,0.9668544335010251,0.11383753614106955,1,100.0,0.3053170255460694,0,inf,NaT,NaT,26.051779935275082,"Date
2002-10-31     0.00
2002-11-01     0.00
2002-11-04     0.00
2002-11-05     0.00
2002-11-06     0.00
              ...  
2024-12-23   100.00
2024-12-24   100.00
2024-12-25   100.00
2024-12-26   100.00
2024-12-27   100.00
Length: 5562, dtype: float64",-0.0010831800793838359,-0.002284394947864178,8093 days
MultiFactorStrategy,10/31/2002,12/27/2024,30.50120135325369,1.7623370400107197,1.7793057902935006,1.8227532283522918,-15.481159376348408,0.9907705647458213,0.9668544335010251,0.11383753614106955,1,100.0,0.3053170255460694,0,inf,NaT,NaT,21.772743617403812,"Date
2002-10-31     0.00
2002-11-01     0.00
2002-11-04     0.00
2002-11-05     0.00
2002-11-06     0.00
              ...  
2024-12-23   100.00
2024-12-24   100.00
2024-12-25   100.00
2024-12-26   100.00
2024-12-27   100.00
Length: 5562, dtype: float64",-0.0010831800793838359,-0.002284394947864178,8093 days
MacroRegimeStrategy,10/31/2002,12/27/2024,31.587660812523776,1.817718518480116,1.7821811305627437,1.8173976992455547,-15.48115937634863,1.0197309118524975,1.0001765267088731,0.11741488310346697,1,100.0,0.316192484733363,0,inf,NaT,NaT,21.53901474289824,"Date
2002-10-31     0.00
2002-11-01     0.00
2002-11-04     0.00
2002-11-05     0.00
2002-11-06     0.00
              ...  
2024-12-23   100.00
2024-12-24   100.00
2024-12-25   100.00
2024-12-26   100.00
2024-12-27   100.00
Length: 5562, dtype: float64",-0.0010831800793837804,-0.0022843949478641742,8093 days
VolatilityRegimeStrategy,10/31/2002,12/27/2024,29.949355707765136,1.7340419198831336,1.7695404095428389,1.8565042988480767,-15.481159376348486,0.9804242074016124,0.9340360380307611,0.11200982289041837,1,100.0,0.29979305063472894,0,inf,NaT,NaT,14.724919093851133,"Date
2002-10-31     0.00
2002-11-01     0.00
2002-11-04     0.00
2002-11-05     0.00
2002-11-06     0.00
              ...  
2024-12-23   100.00
2024-12-24   100.00
2024-12-25   100.00
2024-12-26   100.00
2024-12-27   100.00
Length: 5562, dtype: float64",-0.0010743978325530544,-0.002279403498056313,8093 days
MeanReversionStrategy,10/31/2002,12/27/2024,29.88102957187337,1.7305307841907203,1.7770322682823363,1.826450702509052,-15.481159376348675,0.9744232682213114,0.9474828867888065,0.11178302232548144,1,100.0,0.2991091060144524,0,inf,NaT,NaT,1.1686443725278677,"Date
2002-10-31     0.00
2002-11-01     0.00
2002-11-04     0.00
2002-11-05     0.00
2002-11-06     0.00
              ...  
2024-12-23   100.00
2024-12-24   100.00
2024-12-25   100.00
2024-12-26   100.00
2024-12-27   100.00
Length: 5562, dtype: float64",-0.0010824759927070457,-0.0022839528700315612,8093 days
DualMomentumStrategy,10/31/2002,12/27/2024,30.015261701043215,1.7374270555388982,1.7759273422634492,1.830635125252459,-15.481159376348586,0.9788356619883111,0.9490842995265336,0.11222848452766791,1,100.0,0.30045276962744255,0,inf,NaT,NaT,4.638619201725998,"Date
2002-10-31     0.00
2002-11-01     0.00
2002-11-04     0.00
2002-11-05     0.00
2002-11-06     0.00
              ...  
2024-12-23   100.00
2024-12-24   100.00
2024-12-25   100.00
2024-12-26   100.00
2024-12-27   100.00
Length: 5562, dtype: float64",-0.0010824759927070462,-0.0022839528700315604,8093 days
