,total_return,annual_return,daily_vol,downside_vol,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio,total_trades,win_rate,avg_win,avg_loss,profit_factor,market_coverage,avg_hold_time,high_vol_return,low_vol_return,avg_vix,avg_regime,return_skew,return_kurtosis,return_autocorr,time_in_drawdown,recovery_ratio,max_consecutive_wins,max_consecutive_losses,strategy_type,avg_position_size,trading_frequency,risk_management,signal_type
BuyAndHoldStrategy,0.34686144938396923,0.013529863852472346,0.015100638830901842,0.01548561151651548,-0.1548115937634864,0.8959795677507979,0.8737054935184626,0.08739567576019282,1,0.5940309241280115,0.0004821529925857807,-0.0005781434363895468,1.2323030023354795,1.0,5562.0,-0.03839080779565924,0.041269821023412916,19.15674038115786,0.8276519237684287,-2.6732544697032683,50.72105229365369,0.245562932036235,0.8344120819848975,0.0003535794591070023,34,19,Benchmark,1.0,Never,None,Static
DualMomentumStrategy,-0.0012979291408969917,-5.861394244932594e-05,0.0018069689447590916,0.00787759812321756,-0.016261071553157813,-0.03243771433888171,-0.007440585510013985,-0.0036045559640836477,136,0.58984375,0.000301684240121336,-0.0004501639980187544,0.9730283010280222,0.04638619201725998,40.89705882352941,-0.0025209890311203866,0.0012533940672493193,16.647480620155044,0.8021317829457364,-1.2495230978515839,4.569871564310783,0.04121546105802526,0.7258180510607695,-3.7829470734392064e-07,11,5,,,,,
MacroRegimeStrategy,0.255958883044221,0.010338537523645774,0.005710465334587244,0.008261601414180472,-0.008419338837501567,1.8104544757547418,1.2513963099091643,1.2279512350299622,159,0.6594142259414226,0.0005200848884341265,-0.0004472007964910598,2.257209402346761,0.21539014742898238,34.9811320754717,-4.902989499271932e-05,0.015872464364278988,18.73260434056761,0.8739899833055091,1.4683850347701723,14.668449396465316,0.24029477766297974,0.7265372168284789,0.00020509525884953604,34,9,,,,,
MeanReversionStrategy,0.0022667100119782013,0.00010218969214070839,0.0013984120591516176,0.0069020538378483185,-0.006730756494829793,0.07307552267727467,0.014805693282242714,0.015182497274891025,71,0.4393939393939394,0.0005878951922027797,-0.00041009073547583334,1.1548230603499174,0.011686443725278677,78.33802816901408,-0.00015269698177650164,0.00023990434826214296,15.579538461538462,0.9770769230769232,1.9715240478150489,7.821986158177111,-0.09135132866314546,0.7808342322905429,8.73491334095646e-07,2,4,,,,,
MultiFactorStrategy,0.2745134042653927,0.011007462293671777,0.00670332333273922,0.011416772591287523,-0.030105844956460515,1.642090310624138,0.9641483357627617,0.3656254228901703,1294,0.652029826014913,0.0005646532693936955,-0.0004804701748176879,2.2073750147376283,0.2177274361740381,4.298299845440495,0.0028959569407743056,0.015333420751501394,17.545276630883567,0.7930305532617672,0.5995669508616067,16.7863822394826,0.20420720001862777,0.7482919813016901,0.00020455544282070993,9,3,,,,,
VolatilityRegimeStrategy,0.09893070340254884,0.004266683729134524,0.0034300593846194752,0.007401915227681367,-0.013712338168706983,1.2439095801858435,0.5764296939227515,0.3111565421330952,103,0.6544566544566545,0.0003725947090844389,-0.00037320062378208297,1.8976232988310462,0.14724919093851133,54.0,-0.00133091680454768,0.007266111230464175,14.879426129426129,0.884004884004884,-0.08204963735852688,8.171624275714661,0.15049455234399142,0.6652283351312478,0.00010413758252899878,20,14,,,,,
AdaptiveTrendStrategy,1.2531947653412034,0.0373429736452755,0.008925941478587359,0.008491250784186626,-0.007340721586478471,4.183645359412046,4.397817776719048,5.087098482805947,605,0.7275682704811444,0.0005030533957378359,-0.0003734136042532015,3.602123286830413,0.5550161812297735,9.193388429752066,0.024153708428393355,0.04361083743138069,17.84710074505993,0.8318723679948169,1.8092636389460717,22.001353518713326,0.14300554487450495,0.5147428982380439,0.017405482851961158,34,7,,,,,
CombinedStrategy,0.47601440854931387,0.017727074991195968,0.005488446545850909,0.007036102646910557,-0.00444128502297092,3.229889339925716,2.5194451929975252,3.9914292596645264,607,0.7513812154696132,0.0004663961711713243,-0.00032798886839404627,4.309534073264309,0.2605177993527508,9.16309719934102,0.006788435176712887,0.023441782742414284,15.877943409247756,0.8924637681159421,2.0498694916228044,20.83980674278371,0.2186201612131145,0.5765911542610572,0.0018308246482665919,22,7,,,,,
